fips,state,county,seat,lat,lon,int_lat,int_lon,point_source,capitol_drive_s,capitol_road_m,capitol_snap_m,center_drive_s,center_road_m,center_snap_m
29227,MO,Worth County,Grant City,40.4857785,-94.4134577,40.480499,-94.419198,seat,76626.5,1818401.0,7.296114006,21119.3,452293.3,7.296114006
29229,MO,Wright County,Hartville,37.2503,-92.5119,37.267633,-92.479989,seat,70319.8,1651846.3,5.765923736,33454.1,741098.4,5.765923736
29510,MO,St. Louis city,(internal point),38.635699,-90.244582,38.635699,-90.244582,internal_point,56936.3,1345803.1,35.28486317,34973.8,818598.9,35.28486317
30001,MT,Beaverhead County,Dillon,45.215833333333,-112.63416666667,45.133863,-112.892869,seat,142447.1,3548618.3,14.22229676,67159.6,1687232.8,14.22229676
30003,MT,Big Horn County,Hardin,45.7319,-107.613,45.407868,-107.518162,seat,123050.1,3029276.8,33.16544336,49505.2,1307068.4,33.16544336
30005,MT,Blaine County,Chinook,48.583333333333,-109.23333333333,48.428282,-108.967648,seat,133141.3,3245955.3,7.91533151,70562.0,1742232.5,7.91533151
30007,MT,Broadwater County,Townsend,46.320277777778,-111.51777777778,46.329849,-111.497873,seat,138019.9,3466949.8,11.58591461,64547.2,1711184.0,11.58591461
30009,MT,Carbon County,Red Lodge,45.1875,-109.24861111111,45.224468,-109.028554,seat,130337.8,3232889.3,11.09691861,55409.0,1384599.5,11.09691861
30011,MT,Carter County,Ekalaka,45.889166666667,-104.54972222222,45.516825,-104.515324,seat,118050.9,2856028.8,48.83772824,47075.3,1063230.5,48.83772824
30013,MT,Cascade County,Great Falls,47.503611111111,-111.28638888889,47.316575,-111.350262,seat,135664.7,3346574.3,5.559053791,66939.2,1732016.3,5.559053791
30015,MT,Chouteau County,Fort Benton,47.819444444444,-110.66972222222,47.886834,-110.4362,seat,138302.9,3409633.0,8.015237325,69577.4,1795074.8,8.015237325
30017,MT,Custer County,Miles City,46.40833,-105.84,46.261414,-105.550352,seat,116792.9,2904895.5,3.001309723,50515.8,1167888.0,3.001309723
30019,MT,Daniels County,Scobey,48.790833333333,-105.42,48.794429,-105.541739,seat,124232.5,3017569.5,10.44635056,65677.1,1529594.1,10.44635056
